,minutes,simple_radius,flash_area_radius
0,10.0,10.0,0.0
1,10.0,20.0,0.0
2,10.0,30.0,0.0
3,10.0,40.0,0.0
4,10.0,50.0,0.0
5,20.0,10.0,0.0
6,20.0,20.0,0.0
7,20.0,30.0,0.0
8,20.0,40.0,0.0
9,20.0,50.0,0.0
10,30.0,10.0,0.0
11,30.0,20.0,0.0
12,30.0,30.0,0.0
13,30.0,40.0,0.0
14,30.0,50.0,0.0
15,40.0,10.0,0.0
16,40.0,20.0,0.0
17,40.0,30.0,0.0
18,40.0,40.0,0.0
19,40.0,50.0,0.0
20,50.0,10.0,0.0
21,50.0,20.0,0.0
22,50.0,30.0,0.0
23,50.0,40.0,0.0
24,50.0,50.0,0.0
25,10.0,0.0,10.0
26,10.0,0.0,15.0
27,10.0,0.0,20.0
28,10.0,0.0,25.0
29,10.0,0.0,30.0
30,20.0,0.0,10.0
31,20.0,0.0,15.0
32,20.0,0.0,20.0
33,20.0,0.0,25.0
34,20.0,0.0,30.0
35,30.0,0.0,10.0
36,30.0,0.0,15.0
37,30.0,0.0,20.0
38,30.0,0.0,25.0
39,30.0,0.0,30.0
40,40.0,0.0,10.0
41,40.0,0.0,15.0
42,40.0,0.0,20.0
43,40.0,0.0,25.0
44,40.0,0.0,30.0
45,50.0,0.0,10.0
46,50.0,0.0,15.0
47,50.0,0.0,20.0
48,50.0,0.0,25.0
49,50.0,0.0,30.0
